t_real_s,vehicle_id,x,y,speed
1,veh_16,291.38682592242196,10.268438978240301,12.5
2,veh_16,291.365502649386,11.51165932476387,12.435144606344103
3,veh_16,291.34417231488516,12.755291379039257,12.439262657857421
4,veh_16,291.3228353640774,13.99930918682516,12.443121105556669
5,veh_16,291.301492214459,15.243688406645576,12.446736080910147
6,veh_16,291.2801432575344,16.488406212443735,12.450122741695326
7,veh_16,291.25878886039095,17.733441201759042,12.453295327241836
8,veh_16,291.23742936718384,18.978773309157592,12.45626721097955
9,veh_16,291.2160651005353,20.22438372465424,12.459050950366311
10,veh_16,291.1946963628523,21.47025481687244,12.461658334276187
11,veh_16,291.1733234375679,22.716370060696377,12.464100427933786
12,veh_16,291.1519465903086,23.962713969179077,12.466387615483468
13,veh_16,291.13056606999356,25.209272029479045,12.468529640284471
14,veh_16,291.10918210986773,26.456030642607303,12.470535643024098
15,veh_16,291.0877949284738,27.702977066776008,12.472414197741385
16,veh_16,291.06640473056524,28.950099364148805,12.474173345853306
17,veh_16,291.0450117079647,30.197386350802454,12.475820628274505
18,veh_16,291.02361604037037,31.444827549717992,12.477363115720097
19,veh_16,291.00221789611294,32.69241314662855,12.478807437279123
20,veh_16,290.9808174328671,33.94013394855958,12.480159807344094
21,veh_16,290.959414798319,35.18798134490514,12.481426050979534
22,veh_16,290.9380101307926,36.43594727089266,12.482611627809819
23,veh_16,290.9166035598382,37.68402417329539,12.483721654503773
24,veh_16,290.895195206784,38.932204978260124,12.484760925930626
25,veh_16,290.87378518525395,40.18048306112423,12.485733935058969
26,veh_16,290.8523736016531,41.42885221810336,12.486644891667368
27,veh_16,290.83096055562316,42.677306639737566,12.487497739932337
28,veh_16,290.80954614046976,43.92584088598971,12.488296174956384
29,veh_16,290.7881304435628,45.174449862896445,12.489043658295971
30,veh_16,290.76671354671186,46.423128800677276,12.489743432546346
31,veh_16,290.74529552651813,47.67187323321283,12.490398535037405
32,veh_16,290.7238764547046,48.920678978808745,12.491011810692058
33,veh_16,290.7024563984251,50.1695421221662,12.491585924095906
34,veh_16,290.68103542055417,51.41845899748492,12.492123370824523
35,veh_16,290.6596135799585,52.66742617262875,12.492626488072158
36,veh_16,290.63819093175164,53.91644043428824,12.493097464623343
37,veh_16,290.6167675275324,55.16549877407829,12.493538350206608
38,veh_16,290.59534341560806,56.414598375512966,12.493951064267371
39,veh_16,290.573918641204,57.66373660180275,12.494337404194974
40,veh_16,290.5524932466594,58.91291098442307,12.494699053036888
41,veh_16,290.5310672716112,60.16211921240587,12.495037586731216
42,veh_16,290.50964075316597,61.411359122309115,12.495354480886856
43,veh_16,290.48821372606113,62.660628688821554,12.495651117138959
44,veh_16,290.46678622281587,63.90992601596324,12.495928789105744
45,veh_16,290.44535827387244,65.15924932884388,12.496188707971177
46,veh_16,290.4239299077287,66.4085969659446,12.49643200771658
47,veh_16,290.40250115106176,67.65796737188941,12.496659750022877
48,veh_16,290.3810720288446,68.90735909067625,12.496872928863882
49,veh_16,290.35964256445425,70.15677075933806,12.497072474809803
50,veh_16,290.338212779774,71.406201102007,12.497259259059012
51,veh_16,290.31678269528845,72.6556489243563,12.497434097214986
52,veh_16,290.29535233017305,73.90511310839575,12.497597752824369
53,veh_16,290.2739217023774,75.15459260759873,12.497750940691054
54,veh_16,290.2524908287037,76.40408644233918,12.497894329980348
55,veh_16,290.23105972487997,77.65359369561978,12.498028547126365
56,veh_16,290.2096284056287,78.9031135090718,12.498154178555017
57,veh_16,290.18819688473087,80.15264507921043,12.498271773234192
58,veh_16,290.1667651750864,81.40218765392844,12.498381845061997
59,veh_16,290.1453332887703,82.65174052921373,12.498484875103285
60,veh_16,290.1239012370853,83.90130304607611,12.498581313684015
